post_title,post_date,product_name,sale_price,regular_price,instant_savings,approx_regular_price,source_url,scraped_at
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1965449 HP OMNIBOOK 5 INTEL CORE ULTRA 7 16-AF1003CA ($100.00 INSTANT SAVINGS EXPIRES ON 2025-11-09) $1249.99,$100.00,,100.00,200.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,877536 SAMSUNG GALAXY A36 128GB. BLACK ($130.00 INSTANT SAVINGS EXPIRES ON 2025-10-27) $398.99,$130.00,,130.00,260.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,5418507 SAMSUNG GALAXY TAB S10 FE 128GB 10.9,$240.00,,240.00,480.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1966232 REEBOK PULSE SPORT SMARTWATCH GOLD ($20.00 INSTANT SAVINGS EXPIRES ON 2025-11-09) $139.99,$20.00,,20.00,40.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,130860 JONA MICHELLE DRESS GIRLS SIZES 2-10 $26.99,$26.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,"1858681 GUESS LADIES SILVER DIAL, 39.5MM U1424L1M $99.97",$99.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1837318 GUESS LADIES SILVER DIAL 42MM U1406L1M $99.97,$99.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1930957 CASIO UNISEX BLACK DIAL 46.3MM GD-B500-7 $69.97,$69.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1856928 TED BAKER MENS BLACK DIAL 44MM BKPACS2039I $79.97,$79.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1566417 14KT WHITE GOLD HALO ROUND DIAMOND PENDANT 0.22 CTW IVS2 $399.97,$399.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,5240229 SHARK FLEXFUSION AIR + CERAMIC HAIR SYSTEM ($100.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $389.99,$100.00,,100.00,200.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1554563 CONAIR TURBO EXTREMESTEAM 2 IN 1 STEAMER & IRON ($15.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $44.99,$15.00,,15.00,30.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,2555706 SONICARE CONFIDENT CLEAN DUAL HANDLES ($35.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $134.99,$35.00,,35.00,70.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,2891573 SAMSUNG BESPOKE JET LITE CLEAN STATION ($200.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $799.99,$200.00,,200.00,400.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1991660 SHARK POWER DETECT CORDLESS VACUUM $599.99,$599.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1947606 KEURIG K-BREW AND CHILL POD COFFEE BREWER ($40.00 INSTANT SAVINGS EXPIRES ON 2025-11-09) $159.99,$40.00,,40.00,80.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1938998 DELONGHI PLATINUM CITIZ NESPRESSO MACHINE ($60.00 INSTANT SAVINGS EXPIRES ON 2025-11-09) $129.99,$60.00,,60.00,120.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1976500 ILLY INTENSO BOLD ROAST PACK OF 60 K-CUPS ($10.00 INSTANT SAVINGS EXPIRES ON 2025-11-09) $39.99,$10.00,,10.00,20.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,3882754 STARBUCKS HOLIDAY BLEND 54 K-CUPS ($10.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $36.99,$10.00,,10.00,20.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,297676 STARBUCKS CAFFE VERONA K-CUPS 54 COUNT ($10.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $36.99,$10.00,,10.00,20.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1266556 VAN HOUTTE HOUSE BLEND PACK OF 100 K-CUPS ($11.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $43.99,$11.00,,11.00,22.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1938125 SKANDIA KNIFE SET 6 PIECES ($5.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $19.99,$5.00,,5.00,10.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1944948 FISSLER M5 COLLECTION COOKWARE SET 7 PIECES $699.99,$699.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1897578 FISSLER VIVAVIT PRESSURE COOKER 8L (8.5 QT) $299.99,$299.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1893590 ALL CLAD HA1 SAUTE PAN 3.8L (4QT) $49.97,$49.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1415597 MIU MESH STRAINER 3 PIECES $14.97,$14.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,2811881 YSERAMIC CERAMIC GNOME COOKIE JAR $19.99,$19.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1796164 SIGNATURE HOUSE STONEWARE BOWLS PACK OF 6 ($5.00 INSTANT SAVINGS EXPIRES ON 2025-11-02) $19.99,$5.00,,5.00,10.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1796160 OXO FOOD DISPENSER 5.2L $19.97,$19.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1962134 BENTGO LUNCH BOX SET PACK OF 2 $19.97,$19.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1946486 ANTIGA 1850 ROOM SPRAY 1L ($5.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $14.99,$5.00,,5.00,10.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,4003636 LOGITECH KEYBOARD MOUSE COMBO MK950 ($20.00 INSTANT SAVINGS EXPIRES ON 2025-10-30) $119.99,$20.00,,20.00,40.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1831655 3M COMMAND LIGHT CLIPS ($4.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $15.99,$4.00,,4.00,8.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1704136 3M COMMAND VARIOUS PACK ($4.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $15.99,$4.00,,4.00,8.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1806211 SANCTUARY HOME & OFFICE SAFE 1.69 CU FT $329.99,$329.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1930010 PULL BOX FOOD STORAGE SET 18 PIECES ($8.00 INSTANT SAVINGS EXPIRES ON 2025-11-23) $31.99,$8.00,,8.00,16.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,9961250 READERS ASSORTED STYLES +1.25 TO +3.00 ($5.00 INSTANT SAVINGS EXPIRES ON 2025-11-09) $14.99,$5.00,,5.00,10.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1806357 DURACELL,$5.00,,5.00,10.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1924605 GLOBE BATTERY BACKUP BULB PACK OF 6 ($4.00 INSTANT SAVINGS EXPIRES ON 2025-11-02) $15.99,$4.00,,4.00,8.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,5850008 LUMINUS 4 INCH LED PANEL PACK OF 8 ($10.00 INSTANT SAVINGS EXPIRES ON 2025-11-16) $39.99,$10.00,,10.00,20.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,"1806405 INFINITY X1 7,000L FLASHLIGHT HYBRID POWER ($10.00 INSTANT SAVINGS EXPIRES ON 2025-11-09) $29.99",$10.00,,10.00,20.0,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,1943336 LEATHERMAN SIDEKICK MULTI-TOOL NYLON SHEATH $69.99,$69.99,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
"Costco Flyer & Costco Sale Items for October 27 – November 2, 2025 for BC, AB, SK, MB",2025-10-28T00:07:57+00:00,7884300 A-IPOWER DUAL FUEL INVERTER 4300W $499.97,$499.97,,,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-27-november-2-2025-for-bc-ab-sk-mb/,2025-10-30T11:50:22
